nsbpid,nsbsid,nsinconset,nsgpslat,nsgpslong,nsmalename,nsfemalename,nseggs,nschicks,nsfledglings,nsoffspring,nschickid1,nschickid2,nschickid3,nspredationtype,nsnestnomale,nsnestnofemale,m_bicohort,m_biageclass,f_bicohort,f_biageclass,m_bibandcombo,f_bibandcombo
EwoNee,2014/2015,93,-41.30082599,174.745511,Ewob,Neek,2,2,2,2,BP10177,BP10178,,None,2,2,2013/2014,J,2012/2013,A,YM-FPFP,YM-GFP
EwoNee,2015/2016,14,-41.30007497,174.744829,Ewob,Neek,2,1,1,0,BP11310,,,None,1,1,2013/2014,J,2012/2013,A,YM-FPFP,YM-GFP
FabCin,2015/2016,87,-41.30139596,174.743209,Fabio,Cindy,2,2,2,2,BP13811,BP13810,,None,2,1,2012/2013,A+,2008/2009,,FPW-YM,RO-FPM
FabEll,2016/2017,33,-41.30122497,174.743658,Fabio,Elle,3,0,0,0,,,,E,2,1,2012/2013,A+,2015/2016,A,FPW-YM,PBM-WFP
FabHun,2014/2015,91,-41.30080696,174.743158,Fabio,Hunter,2,2,0,0,,,,C,3,1,2012/2013,A+,2012/2013,A+,FPW-YM,YM-YFP
FabHun,2015/2016,24,-41.30060504,174.743219,Fabio,Hunter,2,2,0,0,,,,None,1,1,2012/2013,A+,2012/2013,A+,FPW-YM,YM-YFP
FabNao,2014/2015,24,-41.30089296,174.743043,Fabio,Naomi,2,2,1,0,BP10104,BP10105,,None,1,1,2012/2013,A+,2012/2013,A,FPW-YM,PBFP-YM
FabNao,2014/2015,79,-41.30071602,174.743239,Fabio,Naomi,2,0,0,0,,,,None,2,2,2012/2013,A+,2012/2013,A,FPW-YM,PBFP-YM
FerBul,2021/2022,21,-41.30134,174.74399,Fernando,Bulma,2,0,0,0,NA,,,None,1,1,2020/2021,P,2018/2019,P,PM-WO,RY-OM
FerBul,2021/2022,40,-41.30119,174.74377,Fernando,Bulma,3,3,3,3,BP22816,BP22817,BP22818,None,2,2,2020/2021,P,2018/2019,P,PM-WO,RY-OM
FerBul,2022/2023,3,-41.30141,174.74374,Fernando,Bulma,2,0,0,0,,,,E,1,1,2020/2021,P,2018/2019,P,PM-WO,RY-OM
FerBul,2022/2023,22,-41.30125,174.7437,Fernando,Bulma,2,2,2,2,BP24522,BP24528,,None,2,2,2020/2021,P,2018/2019,P,PM-WO,RY-OM
FonCan,2014/2015,25,-41.29946996,174.746205,Fonz,Candy,2,2,2,2,BP10149,BP10148,,,1,1,2012/2013,A+,2012/2013,A+,GW-YM,WFP-YM
FonCan,2014/2015,81,-41.29995,174.74617,Fonz,Candy,3,3,2,2,BP10174,BP10175,,None,2,2,2012/2013,A+,2012/2013,A+,GW-YM,WFP-YM
FonCan,2015/2016,0,-41.29980801,174.746575,Fonz,Candy,2,2,2,2,BP11308,BP11309,,None,1,1,2012/2013,A+,2012/2013,A+,GW-YM,WFP-YM
FonCan,2016/2017,71,-41.29979501,174.746528,Fonz,Candy,2,2,2,2,BP13877,BP13878,,None,2,2,2012/2013,A+,2012/2013,A+,GW-YM,WFP-YM
FPPFPG,2014/2015,8,-41.300489,174.743679,FPPB-YM,FPG-YM,2,2,0,0,,,,C,1,1,2012/2013,A+,2013/2014,J,FPPB-YM,FPG-YM
FreDap,2018/2019,26,-41.30056104,174.744829,Fred,Daphne,2,1,1,1,BP17550,,,None,1,1,2017/2018,P,2012/2013,A,GR-PGM,YG-YM
FreDap,2018/2019,74,-41.300454,174.745286,Fred,Daphne,2,2,0,0,BP19324,BP19325,,C,2,2,2017/2018,P,2012/2013,A,GR-PGM,YG-YM
FreDap,2019/2020,20,-41.30042299,174.74499,Fred,Daphne,1,0,0,0,,,,None,1,1,2017/2018,P,2012/2013,A,GR-PGM,YG-YM
FreDap,2019/2020,72,-41.30042198,174.745072,Fred,Daphne,2,0,0,0,,,,E,2,2,2017/2018,P,2012/2013,A,GR-PGM,YG-YM
FreDap,2019/2020,83,-41.30049298,174.745011,Fred,Daphne,2,2,0,0,BP19460,BP19461,,C,3,3,2017/2018,P,2012/2013,A,GR-PGM,YG-YM
FroGo-,2021/2022,0,-41.29656,174.74547,Frodo,Go-go,2,2,1,1,BP19422,,,None,1,1,2020/2021,J,2015/2016,A,RG-PM,PBM-GO
FroGo-,2021/2022,48,-41.29701,174.7451,Frodo,Go-go,3,3,3,3,BP22824,BP22825,BP22826,None,2,2,2020/2021,J,2015/2016,A,RG-PM,PBM-GO
FroGo-,2022/2023,-4,-41.29708,174.74506,Frodo,Go-go,2,0,0,0,,,,E,1,1,2020/2021,J,2015/2016,A,RG-PM,PBM-GO
FroGo-,2022/2023,10,-41.29692,174.74539,Frodo,Go-go,2,2,1,0,BP22891,,,None,2,2,2020/2021,J,2015/2016,A,RG-PM,PBM-GO
